product_code,color,weight_kg,income_usd,sqft,house_price,product_category,product_id
C-17,Red,70.01813611194676,5000000.0,2646.6448574301126,415466.53192899295,C,17
A-97,Red,77.55935281791652,21725.06723027196,4497.270419417669,676977.4820476256,A,97
C-72,Red,89.33542629429991,3305.201702145547,3060.9442194568433,457006.90654945315,C,72
C20,Red,74.13874837250808,40098.4647020242,4892.441397080417,735251.2891859469,C,20
A90,Red,75.67768367757625,18618.839264699254,3407.741582163841,518803.75931066636,A,90
A17,Red,71.4818173137915,21725.06723027196,1895.3962636252822,284417.4211918893,A,17
C-44,Red,81.72435782392242,13740.18814219464,4287.162547377797,651893.6812105019,C,44
B44,Red,75.3140001096033,27370.100608427674,2380.330511289547,354706.2381853102,B,44
C42,Red,77.49105676964324,13740.768226329155,2390.476857930734,351091.8287913452,C,42
C-14,Red,88.08956829020163,12629.856509534504,1127.2187259406605,154496.947892861,C,14
C-50,Green,72.26984301219349,8980.076396260154,3194.8612368296344,499199.2670928746,C,50
C-37,Red,70.98266839327326,101298.81145549654,3137.694014930092,490494.0235163632,C,37
A16,Red,74.46289348001918,31790.07512596643,2423.9659370879444,354706.2381853102,A,16
C-82,Red,81.36242317119263,27159.89899105398,4576.8690515837025,676404.177028425,C,82
B81,Red,75.01426757026081,9176.84013024315,1514.9935931985756,251147.82170196957,B,81
A-21,Red,80.60638578821411,17416.123018286202,2320.3980532406217,356512.99874521804,A,21
B43,Red,63.31025172683315,8207.230330203318,2286.331058720116,340817.58753896574,B,43
B42,Red,61.319157745955124,13478.302796704029,1369.1623449149843,206969.68579455485,B,42
B-57,Blue,64.54962384652909,6573.999054756493,2924.5815762251727,443202.3958539656,B,57
B32,Red,70.98266839327326,107919.85337145253,3751.138868384332,569108.8562746929,B,32
A71,Blue,71.10299578633422,10332.958391924527,3046.6280541890446,463833.82450310123,A,71
A97,Red,65.69974614150084,9181.27329478607,1627.910730864775,242741.36877617717,A,97
B-46,Red,82.30211353644378,5851.127896705217,2509.14386096829,383052.5886628106,B,46
B-53,Red,70.98266839327326,10186.254968689525,1010.3800975345862,149664.93803523114,B,53
A95,Red,70.98266839327326,13428.123730657662,4473.204428142348,676773.6985900744,A,95
A44,Red,60.18799664762451,20963.129745710456,1338.0680307227276,205683.1223867169,A,44
A-74,Red,57.6176914885165,11552.738539153788,3389.1123290217224,515995.3222612396,A,74
C-56,Red,61.753486723489274,4444.350379717707,4945.02798346726,748133.8645102986,C,56
C87,Red,89.51280085735755,21725.06723027196,3146.36258394933,467530.0638432866,C,87
C-12,Red,69.59914862626997,43462.7561186305,4696.167036429732,709012.1571800499,C,12
B10,Red,75.29435511653803,19481.31832723079,1944.4661324696172,298203.91724959144,B,10
C14,Red,68.1610826227198,42145.92335741661,4039.8216357503425,593062.0014730643,C,14
B23,Red,69.09921366819793,21725.06723027196,3125.0630158941362,467217.2277319097,B,23
B36,Blue,64.94119946765706,21725.06723027196,3882.0642455658594,588390.7757470623,B,36
C-18,Red,70.50743958855266,21725.06723027196,1249.3654500449659,204497.7424540411,C,18
B88,Red,74.94599891881714,21725.06723027196,1590.9563676249068,246892.45700502335,B,88
C24,Red,86.78305509822896,21725.06723027196,1532.467714349913,247593.9370222629,C,24
C-51,Red,51.25531125140488,14080.863778594396,3748.662021613324,558315.5693402292,C,51
A-86,Red,86.10820309392503,30965.075490167124,4377.762690534515,659166.3085026536,A,86
C60,Red,70.98266839327326,21725.06723027196,3998.4649280343497,584903.2785727953,C,60
A72,Green,66.32237217346973,86888.22456991798,1121.8886109343766,145019.77450515874,A,72
C-61,Blue,70.98266839327326,21725.06723027196,4468.859924298893,685437.0208259792,C,61
C13,Blue,80.4367564536875,69809.953020917,2416.5866831725016,343878.90366732876,C,13
A32,Red,72.2897853818854,15138.392893133625,2588.65533001633,376691.4487495843,A,32
A24,Red,54.65934881301072,11002.23866960297,1419.4766661299236,219789.817824915,A,24
C52,Red,73.63069603337308,21725.06723027196,3949.6208243752762,569047.1936311425,C,52
B-38,Red,81.44371535474684,31022.155384090598,1729.1355139038324,236479.7145162449,B,38
A-45,Red,78.57864658788466,148974.37741902174,3255.8603680753454,502703.8743858269,A,45
B22,Blue,63.73142130461846,30319.23409956189,4362.839943511724,655170.5018123791,B,22
B41,Red,56.579926959466434,26722.950964732743,1356.8173148482247,194713.9607823511,B,41
B80,Green,70.98266839327326,108677.81341966806,3141.342256062094,462382.5494588734,B,80
A-68,Red,102.53985126087606,40177.15960915679,1932.865646199205,287426.1900095864,A,68
